{'BatchDate': '2020-02-09 06:36:08', 'StartingDate': '2020-02-09 05:35:55', 'EndingDate': '2020-02-09 06:36:00', 'Delay': '1h0min', 'nRT': 1798, 'nInf': 599, 'nFam': 704, 'nUse': 1247}
{'BatchDate': '2020-02-09 07:36:08', 'StartingDate': '2020-02-09 06:36:03', 'EndingDate': '2020-02-09 07:35:56', 'Delay': '0h59min', 'nRT': 2527, 'nInf': 784, 'nFam': 932, 'nUse': 1753}
{'BatchDate': '2020-02-09 08:36:09', 'StartingDate': '2020-02-09 07:35:58', 'EndingDate': '2020-02-09 08:35:58', 'Delay': '1h0min', 'nRT': 4538, 'nInf': 1068, 'nFam': 1352, 'nUse': 3052}
{'BatchDate': '2020-02-09 09:36:10', 'StartingDate': '2020-02-09 08:35:59', 'EndingDate': '2020-02-09 09:36:00', 'Delay': '1h0min', 'nRT': 8122, 'nInf': 1472, 'nFam': 1908, 'nUse': 5663}
{'BatchDate': '2020-02-09 10:36:12', 'StartingDate': '2020-02-09 09:36:01', 'EndingDate': '2020-02-09 10:36:05', 'Delay': '1h0min', 'nRT': 11032, 'nInf': 1778, 'nFam': 2236, 'nUse': 7858}
{'BatchDate': '2020-02-09 11:36:12', 'StartingDate': '2020-02-09 10:36:05', 'EndingDate': '2020-02-09 11:36:03', 'Delay': '0h59min', 'nRT': 13194, 'nInf': 1900, 'nFam': 2390, 'nUse': 9851}
{'BatchDate': '2020-02-09 12:36:13', 'StartingDate': '2020-02-09 11:36:04', 'EndingDate': '2020-02-09 12:36:05', 'Delay': '1h0min', 'nRT': 14484, 'nInf': 2073, 'nFam': 2561, 'nUse': 11004}
{'BatchDate': '2020-02-09 13:36:13', 'StartingDate': '2020-02-09 12:36:05', 'EndingDate': '2020-02-09 13:36:05', 'Delay': '1h0min', 'nRT': 14852, 'nInf': 2198, 'nFam': 2705, 'nUse': 11206}
{'BatchDate': '2020-02-09 14:36:13', 'StartingDate': '2020-02-09 13:36:05', 'EndingDate': '2020-02-09 14:36:05', 'Delay': '1h0min', 'nRT': 15312, 'nInf': 2230, 'nFam': 2791, 'nUse': 11575}
{'BatchDate': '2020-02-09 15:36:14', 'StartingDate': '2020-02-09 14:36:05', 'EndingDate': '2020-02-09 15:36:05', 'Delay': '1h0min', 'nRT': 15674, 'nInf': 2227, 'nFam': 2795, 'nUse': 12058}
{'BatchDate': '2020-02-09 16:36:14', 'StartingDate': '2020-02-09 15:36:05', 'EndingDate': '2020-02-09 16:36:05', 'Delay': '1h0min', 'nRT': 15038, 'nInf': 2208, 'nFam': 2740, 'nUse': 11432}
{'BatchDate': '2020-02-09 17:36:13', 'StartingDate': '2020-02-09 16:36:05', 'EndingDate': '2020-02-09 17:36:05', 'Delay': '1h0min', 'nRT': 14758, 'nInf': 2146, 'nFam': 2707, 'nUse': 11236}
{'BatchDate': '2020-02-09 18:36:14', 'StartingDate': '2020-02-09 17:36:05', 'EndingDate': '2020-02-09 18:36:05', 'Delay': '1h0min', 'nRT': 16783, 'nInf': 2382, 'nFam': 2998, 'nUse': 12748}
{'BatchDate': '2020-02-09 19:36:14', 'StartingDate': '2020-02-09 18:36:05', 'EndingDate': '2020-02-09 19:36:05', 'Delay': '1h0min', 'nRT': 17853, 'nInf': 2480, 'nFam': 3098, 'nUse': 13599}
{'BatchDate': '2020-02-09 20:36:13', 'StartingDate': '2020-02-09 19:36:05', 'EndingDate': '2020-02-09 20:36:04', 'Delay': '0h59min', 'nRT': 16695, 'nInf': 2545, 'nFam': 3149, 'nUse': 12666}
{'BatchDate': '2020-02-09 21:36:20', 'StartingDate': '2020-02-09 20:36:05', 'EndingDate': '2020-02-09 21:36:11', 'Delay': '1h0min', 'nRT': 15259, 'nInf': 2379, 'nFam': 2908, 'nUse': 11729}
{'BatchDate': '2020-02-09 22:36:20', 'StartingDate': '2020-02-09 21:36:11', 'EndingDate': '2020-02-09 22:36:11', 'Delay': '1h0min', 'nRT': 14710, 'nInf': 2320, 'nFam': 2911, 'nUse': 11370}
{'BatchDate': '2020-02-09 23:36:13', 'StartingDate': '2020-02-09 22:36:11', 'EndingDate': '2020-02-09 23:36:03', 'Delay': '0h59min', 'nRT': 13829, 'nInf': 2168, 'nFam': 2718, 'nUse': 10728}
{'BatchDate': '2020-02-10 00:36:13', 'StartingDate': '2020-02-09 23:36:04', 'EndingDate': '2020-02-10 00:36:05', 'Delay': '1h0min', 'nRT': 10794, 'nInf': 1940, 'nFam': 2483, 'nUse': 8269}
{'BatchDate': '2020-02-10 01:36:11', 'StartingDate': '2020-02-10 00:36:05', 'EndingDate': '2020-02-10 01:36:02', 'Delay': '0h59min', 'nRT': 7495, 'nInf': 1495, 'nFam': 1969, 'nUse': 5578}
{'BatchDate': '2020-02-10 02:36:10', 'StartingDate': '2020-02-10 01:36:03', 'EndingDate': '2020-02-10 02:36:00', 'Delay': '0h59min', 'nRT': 4929, 'nInf': 1087, 'nFam': 1394, 'nUse': 3700}
{'BatchDate': '2020-02-10 03:36:08', 'StartingDate': '2020-02-10 02:36:00', 'EndingDate': '2020-02-10 03:36:01', 'Delay': '1h0min', 'nRT': 2762, 'nInf': 753, 'nFam': 880, 'nUse': 2137}
{'BatchDate': '2020-02-10 04:36:07', 'StartingDate': '2020-02-10 03:36:01', 'EndingDate': '2020-02-10 04:35:41', 'Delay': '0h59min', 'nRT': 1892, 'nInf': 637, 'nFam': 741, 'nUse': 1396}
{'BatchDate': '2020-02-10 05:36:07', 'StartingDate': '2020-02-10 04:35:41', 'EndingDate': '2020-02-10 05:35:52', 'Delay': '1h0min', 'nRT': 1569, 'nInf': 589, 'nFam': 700, 'nUse': 1145}
{'BatchDate': '2020-02-10 06:36:07', 'StartingDate': '2020-02-10 05:35:57', 'EndingDate': '2020-02-10 06:36:00', 'Delay': '1h0min', 'nRT': 2420, 'nInf': 767, 'nFam': 913, 'nUse': 1685}
{'BatchDate': '2020-02-10 07:36:09', 'StartingDate': '2020-02-10 06:36:03', 'EndingDate': '2020-02-10 07:36:00', 'Delay': '0h59min', 'nRT': 5035, 'nInf': 1163, 'nFam': 1403, 'nUse': 3768}
{'BatchDate': '2020-02-10 08:36:10', 'StartingDate': '2020-02-10 07:36:01', 'EndingDate': '2020-02-10 08:35:59', 'Delay': '0h59min', 'nRT': 7643, 'nInf': 1456, 'nFam': 1833, 'nUse': 5611}
{'BatchDate': '2020-02-10 09:36:11', 'StartingDate': '2020-02-10 08:35:59', 'EndingDate': '2020-02-10 09:36:02', 'Delay': '1h0min', 'nRT': 9101, 'nInf': 1689, 'nFam': 2111, 'nUse': 6694}
{'BatchDate': '2020-02-10 10:36:11', 'StartingDate': '2020-02-10 09:36:02', 'EndingDate': '2020-02-10 10:36:03', 'Delay': '1h0min', 'nRT': 10351, 'nInf': 1801, 'nFam': 2235, 'nUse': 7666}
{'BatchDate': '2020-02-10 11:36:12', 'StartingDate': '2020-02-10 10:36:03', 'EndingDate': '2020-02-10 11:36:03', 'Delay': '1h0min', 'nRT': 11145, 'nInf': 1902, 'nFam': 2415, 'nUse': 8260}
{'BatchDate': '2020-02-10 12:36:12', 'StartingDate': '2020-02-10 11:36:03', 'EndingDate': '2020-02-10 12:36:05', 'Delay': '1h0min', 'nRT': 12390, 'nInf': 1945, 'nFam': 2449, 'nUse': 9393}
{'BatchDate': '2020-02-10 13:36:14', 'StartingDate': '2020-02-10 12:36:05', 'EndingDate': '2020-02-10 13:36:05', 'Delay': '1h0min', 'nRT': 15090, 'nInf': 2129, 'nFam': 2679, 'nUse': 11240}
{'BatchDate': '2020-02-10 14:36:13', 'StartingDate': '2020-02-10 13:36:05', 'EndingDate': '2020-02-10 14:36:04', 'Delay': '0h59min', 'nRT': 13747, 'nInf': 2028, 'nFam': 2572, 'nUse': 10216}
{'BatchDate': '2020-02-10 15:36:13', 'StartingDate': '2020-02-10 14:36:04', 'EndingDate': '2020-02-10 15:36:04', 'Delay': '1h0min', 'nRT': 11761, 'nInf': 1826, 'nFam': 2287, 'nUse': 9015}
{'BatchDate': '2020-02-10 16:36:11', 'StartingDate': '2020-02-10 15:36:04', 'EndingDate': '2020-02-10 16:36:03', 'Delay': '0h59min', 'nRT': 10240, 'nInf': 1770, 'nFam': 2207, 'nUse': 8097}
{'BatchDate': '2020-02-10 17:36:12', 'StartingDate': '2020-02-10 16:36:03', 'EndingDate': '2020-02-10 17:36:02', 'Delay': '0h59min', 'nRT': 12973, 'nInf': 1958, 'nFam': 2448, 'nUse': 10096}
{'BatchDate': '2020-02-10 18:36:13', 'StartingDate': '2020-02-10 17:36:04', 'EndingDate': '2020-02-10 18:36:05', 'Delay': '1h0min', 'nRT': 14797, 'nInf': 2120, 'nFam': 2675, 'nUse': 11425}
{'BatchDate': '2020-02-10 19:36:13', 'StartingDate': '2020-02-10 18:36:05', 'EndingDate': '2020-02-10 18:54:09', 'Delay': '0h18min', 'nRT': 4577, 'nInf': 991, 'nFam': 1183, 'nUse': 3854}
