{'Date': '2020-02-11 23:46:08', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 14726, 'Nombre de tweets uniques': 974, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 19:13:46', 'Date du dernier retweet enregistré après analyse': '2020-02-11 19:13:46', 'TFIDF, Taille du vocabulaire': 28915, 'TFIDF, Nombre de tweets scannés': 11821}
{'Date': '2020-02-12 00:45:53', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 14726, 'Nombre de tweets uniques': 974, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 19:13:46', 'Date du dernier retweet enregistré après analyse': '2020-02-11 19:13:46', 'TFIDF, Taille du vocabulaire': 28915, 'TFIDF, Nombre de tweets scannés': 11821}
{'Date': '2020-02-12 01:46:16', 'Run effectué': True, 'Nombre de lignes dataframe de tweets': 15245, 'Nombre de tweets uniques': 1485, 'Date du dernier retweet enregistré avant analyse': '2020-02-11 19:13:46', 'Date du dernier retweet enregistré après analyse': '2020-02-12 01:13:36', 'TFIDF, Taille du vocabulaire': 31363, 'TFIDF, Nombre de tweets scannés': 13276}
{'Date': '2020-02-12 02:45:53', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 15245, 'Nombre de tweets uniques': 0, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 01:13:36', 'Date du dernier retweet enregistré après analyse': '2020-02-12 01:13:36', 'TFIDF, Taille du vocabulaire': 31363, 'TFIDF, Nombre de tweets scannés': 13276}
{'Date': '2020-02-12 03:46:02', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 15761, 'Nombre de tweets uniques': 491, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 01:13:36', 'Date du dernier retweet enregistré après analyse': '2020-02-12 01:13:36', 'TFIDF, Taille du vocabulaire': 31363, 'TFIDF, Nombre de tweets scannés': 13276}
{'Date': '2020-02-12 04:45:53', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 15761, 'Nombre de tweets uniques': 491, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 01:13:36', 'Date du dernier retweet enregistré après analyse': '2020-02-12 01:13:36', 'TFIDF, Taille du vocabulaire': 31363, 'TFIDF, Nombre de tweets scannés': 13276}
{'Date': '2020-02-12 05:46:02', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 16245, 'Nombre de tweets uniques': 959, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 01:13:36', 'Date du dernier retweet enregistré après analyse': '2020-02-12 01:13:36', 'TFIDF, Taille du vocabulaire': 31363, 'TFIDF, Nombre de tweets scannés': 13276}
{'Date': '2020-02-12 06:45:57', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 16245, 'Nombre de tweets uniques': 959, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 01:13:36', 'Date du dernier retweet enregistré après analyse': '2020-02-12 01:13:36', 'TFIDF, Taille du vocabulaire': 31363, 'TFIDF, Nombre de tweets scannés': 13276}
{'Date': '2020-02-12 07:46:58', 'Run effectué': True, 'Nombre de lignes dataframe de tweets': 16893, 'Nombre de tweets uniques': 1479, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 01:13:36', 'Date du dernier retweet enregistré après analyse': '2020-02-12 07:13:28', 'TFIDF, Taille du vocabulaire': 33663, 'TFIDF, Nombre de tweets scannés': 14741}
{'Date': '2020-02-12 08:46:32', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 16893, 'Nombre de tweets uniques': 0, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 07:13:28', 'Date du dernier retweet enregistré après analyse': '2020-02-12 07:13:28', 'TFIDF, Taille du vocabulaire': 33663, 'TFIDF, Nombre de tweets scannés': 14741}
{'Date': '2020-02-12 09:46:50', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 17370, 'Nombre de tweets uniques': 244, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 07:13:28', 'Date du dernier retweet enregistré après analyse': '2020-02-12 07:13:28', 'TFIDF, Taille du vocabulaire': 33663, 'TFIDF, Nombre de tweets scannés': 14741}
{'Date': '2020-02-12 10:46:26', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 17370, 'Nombre de tweets uniques': 244, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 07:13:28', 'Date du dernier retweet enregistré après analyse': '2020-02-12 07:13:28', 'TFIDF, Taille du vocabulaire': 33663, 'TFIDF, Nombre de tweets scannés': 14741}
{'Date': '2020-02-12 11:47:03', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 17712, 'Nombre de tweets uniques': 460, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 07:13:28', 'Date du dernier retweet enregistré après analyse': '2020-02-12 07:13:28', 'TFIDF, Taille du vocabulaire': 33663, 'TFIDF, Nombre de tweets scannés': 14741}
{'Date': '2020-02-12 12:46:47', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 17712, 'Nombre de tweets uniques': 460, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 07:13:28', 'Date du dernier retweet enregistré après analyse': '2020-02-12 07:13:28', 'TFIDF, Taille du vocabulaire': 33663, 'TFIDF, Nombre de tweets scannés': 14741}
{'Date': '2020-02-12 13:46:53', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 17932, 'Nombre de tweets uniques': 636, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 07:13:28', 'Date du dernier retweet enregistré après analyse': '2020-02-12 07:13:28', 'TFIDF, Taille du vocabulaire': 33663, 'TFIDF, Nombre de tweets scannés': 14741}
{'Date': '2020-02-12 14:46:09', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 17932, 'Nombre de tweets uniques': 636, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 07:13:28', 'Date du dernier retweet enregistré après analyse': '2020-02-12 07:13:28', 'TFIDF, Taille du vocabulaire': 33663, 'TFIDF, Nombre de tweets scannés': 14741}
{'Date': '2020-02-12 15:46:36', 'Run effectué': True, 'Nombre de lignes dataframe de tweets': 18394, 'Nombre de tweets uniques': 1086, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 07:13:28', 'Date du dernier retweet enregistré après analyse': '2020-02-12 15:13:10', 'TFIDF, Taille du vocabulaire': 35529, 'TFIDF, Nombre de tweets scannés': 15820}
{'Date': '2020-02-12 16:46:01', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 18394, 'Nombre de tweets uniques': 0, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 15:13:10', 'Date du dernier retweet enregistré après analyse': '2020-02-12 15:13:10', 'TFIDF, Taille du vocabulaire': 35529, 'TFIDF, Nombre de tweets scannés': 15820}
{'Date': '2020-02-12 17:46:11', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 18951, 'Nombre de tweets uniques': 530, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 15:13:10', 'Date du dernier retweet enregistré après analyse': '2020-02-12 15:13:10', 'TFIDF, Taille du vocabulaire': 35529, 'TFIDF, Nombre de tweets scannés': 15820}
{'Date': '2020-02-12 18:45:56', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 18951, 'Nombre de tweets uniques': 530, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 15:13:10', 'Date du dernier retweet enregistré après analyse': '2020-02-12 15:13:10', 'TFIDF, Taille du vocabulaire': 35529, 'TFIDF, Nombre de tweets scannés': 15820}
{'Date': '2020-02-12 19:46:35', 'Run effectué': True, 'Nombre de lignes dataframe de tweets': 19503, 'Nombre de tweets uniques': 1069, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 15:13:10', 'Date du dernier retweet enregistré après analyse': '2020-02-12 19:12:41', 'TFIDF, Taille du vocabulaire': 37338, 'TFIDF, Nombre de tweets scannés': 16876}
{'Date': '2020-02-12 20:46:05', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 19503, 'Nombre de tweets uniques': 0, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 19:12:41', 'Date du dernier retweet enregistré après analyse': '2020-02-12 19:12:41', 'TFIDF, Taille du vocabulaire': 37338, 'TFIDF, Nombre de tweets scannés': 16876}
{'Date': '2020-02-12 21:46:13', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 20106, 'Nombre de tweets uniques': 559, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 19:12:41', 'Date du dernier retweet enregistré après analyse': '2020-02-12 19:12:41', 'TFIDF, Taille du vocabulaire': 37338, 'TFIDF, Nombre de tweets scannés': 16876}
{'Date': '2020-02-12 22:46:01', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 20106, 'Nombre de tweets uniques': 559, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 19:12:41', 'Date du dernier retweet enregistré après analyse': '2020-02-12 19:12:41', 'TFIDF, Taille du vocabulaire': 37338, 'TFIDF, Nombre de tweets scannés': 16876}
{'Date': '2020-02-12 23:46:27', 'Run effectué': True, 'Nombre de lignes dataframe de tweets': 20683, 'Nombre de tweets uniques': 1124, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 19:12:41', 'Date du dernier retweet enregistré après analyse': '2020-02-12 23:13:00', 'TFIDF, Taille du vocabulaire': 39182, 'TFIDF, Nombre de tweets scannés': 17989}
{'Date': '2020-02-13 00:46:08', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 20683, 'Nombre de tweets uniques': 0, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 23:13:00', 'Date du dernier retweet enregistré après analyse': '2020-02-12 23:13:00', 'TFIDF, Taille du vocabulaire': 39182, 'TFIDF, Nombre de tweets scannés': 17989}
{'Date': '2020-02-13 01:46:10', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 21236, 'Nombre de tweets uniques': 484, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 23:13:00', 'Date du dernier retweet enregistré après analyse': '2020-02-12 23:13:00', 'TFIDF, Taille du vocabulaire': 39182, 'TFIDF, Nombre de tweets scannés': 17989}
{'Date': '2020-02-13 02:45:57', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 21236, 'Nombre de tweets uniques': 484, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 23:13:00', 'Date du dernier retweet enregistré après analyse': '2020-02-12 23:13:00', 'TFIDF, Taille du vocabulaire': 39182, 'TFIDF, Nombre de tweets scannés': 17989}
{'Date': '2020-02-13 03:46:19', 'Run effectué': True, 'Nombre de lignes dataframe de tweets': 21770, 'Nombre de tweets uniques': 1004, 'Date du dernier retweet enregistré avant analyse': '2020-02-12 23:13:00', 'Date du dernier retweet enregistré après analyse': '2020-02-13 03:12:55', 'TFIDF, Taille du vocabulaire': 40756, 'TFIDF, Nombre de tweets scannés': 18976}
{'Date': '2020-02-13 04:45:58', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 21770, 'Nombre de tweets uniques': 0, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 03:12:55', 'Date du dernier retweet enregistré après analyse': '2020-02-13 03:12:55', 'TFIDF, Taille du vocabulaire': 40756, 'TFIDF, Nombre de tweets scannés': 18976}
{'Date': '2020-02-13 05:46:14', 'Run effectué': False, 'Nombre de lignes dataframe de tweets': 22305, 'Nombre de tweets uniques': 404, 'Date du dernier retweet enregistré avant analyse': '2020-02-13 03:12:55', 'Date du dernier retweet enregistré après analyse': '2020-02-13 03:12:55', 'TFIDF, Taille du vocabulaire': 40756, 'TFIDF, Nombre de tweets scannés': 18976}
