{'Date': '2020-02-12 17:45:56', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-12 11:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 7549, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 49}
{'Date': '2020-02-12 18:45:41', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 49}
{'Date': '2020-02-12 19:46:09', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-12 13:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 6069, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 51}
{'Date': '2020-02-12 20:45:48', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 51}
{'Date': '2020-02-12 21:45:57', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-12 15:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 3353, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 53}
{'Date': '2020-02-12 22:45:46', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 53}
{'Date': '2020-02-12 23:46:00', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-12 17:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 1981, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 55}
{'Date': '2020-02-13 00:45:51', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 55}
{'Date': '2020-02-13 01:45:56', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-12 19:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 2000, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 57}
{'Date': '2020-02-13 02:45:42', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 57}
{'Date': '2020-02-13 03:45:56', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-12 21:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 1966, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 59}
{'Date': '2020-02-13 04:45:43', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 59}
{'Date': '2020-02-13 05:45:59', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-12 23:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 2032, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 61}
{'Date': '2020-02-13 06:46:12', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 61}
{'Date': '2020-02-13 07:46:52', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-13 01:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 1981, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 63}
{'Date': '2020-02-13 08:46:22', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 63}
{'Date': '2020-02-13 09:46:53', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-13 03:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 1902, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 65}
{'Date': '2020-02-13 10:46:19', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 65}
{'Date': '2020-02-13 11:47:00', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-13 05:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 2277, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 67}
{'Date': '2020-02-13 12:46:35', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 67}
{'Date': '2020-02-13 13:47:15', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-13 07:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 7159, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 69}
{'Date': '2020-02-13 14:46:04', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 69}
{'Date': '2020-02-13 15:46:39', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-13 09:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 8986, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 71}
{'Date': '2020-02-13 16:45:56', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 71}
{'Date': '2020-02-13 17:46:19', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-13 11:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 6486, 'Nombre de graph rajoutés': 2, 'Nombre de graph enregistrés so far': 73}
{'Date': '2020-02-13 18:45:49', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 73}
{'Date': '2020-02-13 21:31:38', 'Seuil existant pour la suppression des anciens retweets': True, 'Date du seuil': Timestamp('2020-02-13 15:09:04'), 'Nombre de lignes supprimés dans la table FinalRT': 18248, 'Nombre de graph rajoutés': 4, 'Nombre de graph enregistrés so far': 77}
{'Date': '2020-02-13 21:45:42', 'Seuil existant pour la suppression des anciens retweets': False, 'Date du seuil': '', 'Nombre de lignes supprimés dans la table FinalRT': 0, 'Nombre de graph rajoutés': 0, 'Nombre de graph enregistrés so far': 77}
