{'Date': '2020-02-12 13:47:15', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 22497, 'Nombre de lignes total rajoutées, statswords': 1938, 'Nombre de tweets, FinalFam': 17932, "Nombre d'auteurs, FinalInf": 9548, 'Nombre de dataframes de type graph so far': 93, 'Nombre de dataframes de type tfidf so far': 93}
{'Date': '2020-02-12 14:46:24', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 17932, "Nombre d'auteurs, FinalInf": 9548, 'Nombre de dataframes de type graph so far': 93, 'Nombre de dataframes de type tfidf so far': 93}
{'Date': '2020-02-12 15:46:58', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 14525, 'Nombre de lignes total rajoutées, statswords': 2147, 'Nombre de tweets, FinalFam': 18394, "Nombre d'auteurs, FinalInf": 9712, 'Nombre de dataframes de type graph so far': 97, 'Nombre de dataframes de type tfidf so far': 97}
{'Date': '2020-02-12 16:46:16', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 18394, "Nombre d'auteurs, FinalInf": 9712, 'Nombre de dataframes de type graph so far': 97, 'Nombre de dataframes de type tfidf so far': 97}
{'Date': '2020-02-12 17:46:33', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 7420, 'Nombre de lignes total rajoutées, statswords': 2075, 'Nombre de tweets, FinalFam': 18951, "Nombre d'auteurs, FinalInf": 9899, 'Nombre de dataframes de type graph so far': 101, 'Nombre de dataframes de type tfidf so far': 101}
{'Date': '2020-02-12 18:46:11', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 18951, "Nombre d'auteurs, FinalInf": 9899, 'Nombre de dataframes de type graph so far': 101, 'Nombre de dataframes de type tfidf so far': 101}
{'Date': '2020-02-12 19:46:59', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 2072, 'Nombre de lignes total rajoutées, statswords': 2100, 'Nombre de tweets, FinalFam': 19503, "Nombre d'auteurs, FinalInf": 10076, 'Nombre de dataframes de type graph so far': 105, 'Nombre de dataframes de type tfidf so far': 105}
{'Date': '2020-02-12 20:46:22', 'Nombre de graph dataframes crées': 0, 'Nombre de lignes total rajoutées, linksdf': 0, 'Nombre de lignes total rajoutées, statswords': 0, 'Nombre de tweets, FinalFam': 19503, "Nombre d'auteurs, FinalInf": 10076, 'Nombre de dataframes de type graph so far': 105, 'Nombre de dataframes de type tfidf so far': 105}
{'Date': '2020-02-12 22:46:27', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 1019, 'Nombre de lignes total rajoutées, statswords': 1928, 'Nombre de tweets, FinalFam': 20106, "Nombre d'auteurs, FinalInf": 10272, 'Nombre de dataframes de type graph so far': 109, 'Nombre de dataframes de type tfidf so far': 109}
{'Date': '2020-02-12 23:46:56', 'Nombre de graph dataframes crées': 2, 'Nombre de lignes total rajoutées, linksdf': 1043, 'Nombre de lignes total rajoutées, statswords': 1964, 'Nombre de tweets, FinalFam': 20683, "Nombre d'auteurs, FinalInf": 10469, 'Nombre de dataframes de type graph so far': 113, 'Nombre de dataframes de type tfidf so far': 113}
